des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2025 XN5,8,2461034.794463924,2025-Dec-25 07:04,0.0289388487996253,0.0288402476011606,0.0290374494839885,15.4928448262587,15.4869007652975,< 00:01,24.199
2025 YY4,1,2461034.913817995,2025-Dec-25 09:56,0.020370538241573,0.0201903980379068,0.0205506760470308,18.5794920091662,18.5724506204374,< 00:01,25.067
2025 YD4,1,2461035.140713143,2025-Dec-25 15:23,0.00924138421004648,0.00921525040908905,0.00926751779860562,20.0429542171574,20.0285639277012,< 00:01,24.087
2025 XP3,6,2461035.582781304,2025-Dec-26 01:59,0.034144687157819,0.0340089501287364,0.0342804232690535,13.4943761699678,13.4885921538966,< 00:01,24.056
2025 YS4,1,2461035.852430746,2025-Dec-26 08:28,0.0251052240500581,0.0249797749994869,0.0252306724469342,20.0513072895731,20.0460135460613,< 00:01,25.467
2025 YP4,2,2461035.987354051,2025-Dec-26 11:42,0.0360037340183145,0.0358847133114514,0.0361227535994814,7.03288715929035,7.02235647895701,00:05,26.599
2025 YA5,1,2461036.951591763,2025-Dec-27 10:50,0.025227032815575,0.0249627774527797,0.0254912778795302,10.5860483665168,10.5760663768604,< 00:01,26.055
2025 XJ4,6,2461037.141874773,2025-Dec-27 15:24,0.0368713283388109,0.036688953445502,0.0370536974625389,6.7048410219395,6.69405442203125,< 00:01,24.934
2025 YJ,3,2461037.528055510,2025-Dec-28 00:40,0.0478752900516337,0.0475364581100715,0.0482141122190684,7.37858979350282,7.37104322150884,00:01,26.341
2025 YW4,1,2461037.746315105,2025-Dec-28 05:55,0.00735443759370129,0.00733742038443089,0.00737145375598125,7.38593548935886,7.33671943967377,00:02,25.515
2021 AB1,3,2461037.892055827,2025-Dec-28 09:25,0.0260970621672373,0.0122901063243951,0.0951655292856805,12.2667788478393,12.2584528246942,2_10:41,26.7
2025 YZ4,1,2461039.882300778,2025-Dec-30 09:11,0.0200518156813444,0.0199163376628963,0.0201872884930023,9.75839632571937,9.7447698506041,00:01,24.908
2019 AU,11,2461040.142309181,2025-Dec-30 15:25,0.0494518064039716,0.043527421822107,0.0553869626576221,2.83641644387542,2.81735649068861,23:15,26.7
2024 AV2,7,2461040.418510275,2025-Dec-30 22:03,0.0458574513176268,0.0458567260041847,0.0458581766311392,7.04399535624211,7.03574186129884,< 00:01,26.64
2025 YL4,1,2461042.149132478,2026-Jan-01 15:35,0.00974188051182342,0.00966575276722888,0.00981800141624871,9.87411226951698,9.8463738355734,00:49,26.767
2025 XC7,3,2461042.487059811,2026-Jan-01 23:41,0.0228724630029016,0.0227767311799798,0.0229681904157557,6.57364421549777,6.55589906039346,00:02,25.467
2025 YZ,4,2461042.728809695,2026-Jan-02 05:29,0.0361811123736611,0.0359202731484527,0.0364419391869708,6.66759692430506,6.65654287858034,00:04,25.42
2025 YT2,1,2461043.292839395,2026-Jan-02 19:02,0.0381262045067455,0.0362690365336232,0.0399825448396266,5.53478307845063,5.52214199166538,00:14,27.718
2025 YF3,3,2461043.544860565,2026-Jan-03 01:05,0.0395069962604253,0.0389656402680308,0.0400483202287944,6.96621258392949,6.95652436992944,00:05,25.005
2025 YF4,2,2461044.443020855,2026-Jan-03 22:38,0.0321505707765976,0.0319515972676387,0.03234953721583,7.34128143018532,7.32998383274823,00:04,26.091
2025 YA4,1,2461044.627194419,2026-Jan-04 03:03,0.0335660486621723,0.0326851075791017,0.0344469626316952,15.6438009884127,15.6387259386436,01:06,24.788
2014 AF16,9,2461044.775917715,2026-Jan-04 06:37,0.0229782282500891,0.0172898208272927,0.0286690013771272,9.5688353284524,9.55670948385717,21:45,25.1
2025 YY3,1,2461045.827420622,2026-Jan-05 07:51,0.0461396898948793,0.0434821918075301,0.0487970004650762,13.2128775686969,13.2085062535165,01:56,25.292
2025 YV1,3,2461046.147437086,2026-Jan-05 15:32,0.0304160203597852,0.0290609103845351,0.031771058717374,16.5106002353057,16.5052936285874,00:55,24.128
2025 XS4,5,2461046.594841302,2026-Jan-06 02:17,0.0204018621920841,0.0203286050011024,0.0204751162232959,6.48516382949559,6.46499422074011,00:04,25.829
2023 XM15,3,2461047.633140387,2026-Jan-07 03:12,0.0389042233675674,0.0218403258325833,0.05849319719378,6.88957951393025,6.87963149628384,3_03:03,24.21
2025 YL,1,2461053.093304681,2026-Jan-12 14:14,0.0197486434625312,0.0191181758168626,0.0203806325045434,3.86589103482567,3.83083205931181,11:28,27.153
2022 GR3,2,2461053.366755332,2026-Jan-12 20:48,0.0371230714893605,0.00496349669036914,0.089931479298529,12.8538196925184,12.8482345968816,6_11:06,27.91
2025 XN1,8,2461054.781789110,2026-Jan-14 06:46,0.0237041383340266,0.0236176441117729,0.0237906270361971,4.73223590129584,4.70842280424053,00:10,24.986
2022 OB5,13,2461054.806436857,2026-Jan-14 07:21,0.00431413690121743,0.0043140453737969,0.00431422843548725,2.19151788580906,1.88878769048139,< 00:01,28.96
2025 BL,8,2461057.801528598,2026-Jan-17 07:14,0.0119818424689245,0.0107187432087166,0.0134057630622573,6.9005680991379,6.86826668332947,01:31,25.49
2004 MO3,35,2461058.001840397,2026-Jan-17 12:03,0.0434274905869584,0.0434270225205739,0.0434279586553573,10.2274367805979,10.2214359931398,< 00:01,22.2
2019 LZ4,3,2461064.281738848,2026-Jan-23 18:46,0.0363032334100764,0.0268552846372582,0.0540120778040999,11.613523056668,11.6072015401529,1_20:41,24.5
2025 YR1,3,2461068.124455792,2026-Jan-27 14:59,0.0499017242138892,0.0496741332433657,0.0501293074028102,4.11305046696559,4.10004817955676,02:30,25.448
2022 AG,20,2461069.868898540,2026-Jan-29 08:51,0.0351480021645696,0.0338521197672379,0.0364449992451759,5.29166274851015,5.27731748195455,02:43,25.12
2020 GE,24,2461070.350379196,2026-Jan-29 20:25,0.0415862553705553,0.0415831429028947,0.0415893678791185,1.22028488974166,1.16659886240619,00:19,28.17
2023 RX1,3,2461071.556870957,2026-Jan-31 01:22,0.0225244326040695,0.022461458638177,0.022590036170303,1.22704061360152,1.12651807196905,08:11,30.25
2022 OC3,5,2461072.487111882,2026-Jan-31 23:41,0.003343331039163,0.00330953283564879,0.00377968271971665,3.78294343140517,3.5660558080697,01:49,28.37
2021 CZ5,3,2461080.650575984,2026-Feb-09 03:37,0.046858437226366,0.0433279189156508,0.107442009919057,9.2777879119911,9.27165702044462,1_18:14,25.9
2025 CC,2,2461080.765509190,2026-Feb-09 06:22,0.0450300657589655,0.0447733681996139,0.0453964977976591,5.06072442548049,5.04901866450275,06:29,27.57
2022 DV,10,2461084.463933700,2026-Feb-12 23:08,0.0394934471384719,0.0260718050971451,0.0530455427130066,5.00460864481353,4.99110959174532,3_01:15,26.53
1999 AO10,17,2461084.749404098,2026-Feb-13 05:59,0.0268075232567627,0.0268059544911652,0.0271614716318974,2.68685782864219,2.64960733932081,4_15:18,23.9
162882,123,2461086.091162513,2026-Feb-14 14:11,0.0434384594901147,0.0434380347504076,0.0434388842322589,19.161946929588,19.1587455690381,< 00:01,18.77
2023 CM2,8,2461093.038856042,2026-Feb-21 12:56,0.0107004426602537,0.00513732670341884,0.0680470986095815,11.3923196127711,11.3704412069733,8_10:52,26.07
2025 DQ,6,2461093.244867031,2026-Feb-21 17:53,0.00775587553317771,0.00759890117178295,0.00791309003283441,6.78260031763034,6.73175908666399,00:08,29.93
2007 DB61,18,2461093.303990504,2026-Feb-21 19:18,0.0229417330388904,0.0229408186837134,0.0229426474025634,8.78402816005222,8.77079633839579,< 00:01,23.7
